Date,MONT-SUR-ROLLE - Humidité moy. (%),MONT-SUR-ROLLE - Précipitations tot. (mm ou litres/m2),MONT-SUR-ROLLE - Température moy. +2 m (°C)
01.10.2023,78,0,17.9
02.10.2023,81,0,17.7
03.10.2023,64,0,19.6
04.10.2023,60,0,16.9
05.10.2023,73,0,15.5
06.10.2023,71,0,16.3
07.10.2023,75,0,15.7
08.10.2023,70,0,16.8
09.10.2023,73,0,17.2
10.10.2023,70,0,17.7
11.10.2023,72,0,17.4
12.10.2023,68,0,17.6
13.10.2023,61,0,18
14.10.2023,73,5,17.4
15.10.2023,54,0,12.3
16.10.2023,61,0,10.1
17.10.2023,72,0,11.1
18.10.2023,82,2,12.6
19.10.2023,99,30.3,14
20.10.2023,89,40.5,14.4
21.10.2023,77,7.9,13.5
22.10.2023,68,0,12.4
23.10.2023,78,1.8,12.3
24.10.2023,97,25.4,11.9
25.10.2023,89,8.3,11.7
26.10.2023,96,23.5,12.6
27.10.2023,87,24,11.5
28.10.2023,65,0.8,12.6
29.10.2023,58,0,15.1
30.10.2023,85,31.5,11.4
31.10.2023,91,11.9,9.5
01.11.2023,92,4.1,8.3
02.11.2023,86,29.4,9.6
03.11.2023,88,5.2,6.5
04.11.2023,92,21.3,7.2
05.11.2023,90,16.3,9.1
06.11.2023,81,7.8,9.1
07.11.2023,80,1.3,7.5
08.11.2023,79,0,7
09.11.2023,83,4.3,7.3
10.11.2023,83,13,7.7
11.11.2023,83,3.7,6.4
12.11.2023,95,27.1,7.5
13.11.2023,96,21,11.5
14.11.2023,91,27.7,13.2
15.11.2023,69,0.2,10.1
16.11.2023,80,1.3,8.7
17.11.2023,69,0,7.8
18.11.2023,82,0,6
19.11.2023,86,3.9,10.6
20.11.2023,72,0,10.3
21.11.2023,74,0.3,8.2
22.11.2023,74,0,7
23.11.2023,76,0,4.7
24.11.2023,79,0.5,4.8
25.11.2023,61,0.2,3.3
26.11.2023,66,0,3.9
27.11.2023,74,6.1,3.7
28.11.2023,78,14.3,4.2
29.11.2023,70,0,1.8
30.11.2023,97,31,2.5
01.12.2023,98,38,4.2
02.12.2023,74,0.6,1.7
03.12.2023,65,0,-0.1
04.12.2023,90,11.1,0.3
05.12.2023,84,5.3,4.2
06.12.2023,77,0,4.5
07.12.2023,77,0,3.3
08.12.2023,97,12.8,4.7
09.12.2023,96,24.9,6.3
10.12.2023,74,2.4,8.6
11.12.2023,95,19,10.6
12.12.2023,99,28.4,10.9
13.12.2023,90,16.3,7.9
14.12.2023,84,0.2,6.3
15.12.2023,72,0,5.8
16.12.2023,73,0,4.5
17.12.2023,89,0,2
18.12.2023,99,0,1.7
19.12.2023,98,0,0.9
20.12.2023,69,0,5.8
21.12.2023,84,3.4,5.8
22.12.2023,87,20.5,7.7
23.12.2023,80,0.3,6.4
24.12.2023,75,0,6.8
25.12.2023,49,0,9.4
26.12.2023,44,0,8.1
27.12.2023,68,0,5.2
28.12.2023,70,0,7.8
29.12.2023,80,1.1,9
30.12.2023,86,0,7.1
31.12.2023,85,9.8,5.6
01.01.2024,79,0.2,5.4
02.01.2024,85,25.4,6.4
03.01.2024,68,6.5,9.9
04.01.2024,75,1.4,7.4
05.01.2024,86,3.7,5.8
06.01.2024,70,1.4,5.2
07.01.2024,69,0,4.3
08.01.2024,73,0,-1.1
09.01.2024,77,0,-1.2
10.01.2024,84,4.4,-0.2
11.01.2024,87,0,-0.7
12.01.2024,84,0,-1.6
13.01.2024,85,0,-1.7
14.01.2024,89,0,-0.7
15.01.2024,69,0,3.4
16.01.2024,77,1.6,2.6
17.01.2024,98,33,7
18.01.2024,91,37.9,7.2
19.01.2024,70,0.5,0
20.01.2024,59,0,-1.2
21.01.2024,69,0,0.2
22.01.2024,69,15.5,5.2
23.01.2024,72,1.2,8.1
24.01.2024,69,0,10.8
25.01.2024,74,0,11
26.01.2024,76,0,9.2
27.01.2024,78,0,7.1
28.01.2024,79,0,6.1
29.01.2024,84,0,5.3
30.01.2024,83,0,5.5
31.01.2024,82,0,5.2
01.02.2024,90,0.1,5.2
02.02.2024,87,0,5.9
03.02.2024,79,0,6.3
04.02.2024,86,0,5.2
05.02.2024,89,0,4.2
06.02.2024,84,0.1,4.8
07.02.2024,75,9.4,6.8
08.02.2024,93,6.7,8.3
09.02.2024,87,2.4,9.5
10.02.2024,84,0.9,8.6
11.02.2024,86,6,5.9
12.02.2024,78,0,6.8
13.02.2024,66,0,6.7
14.02.2024,65,0,7.7
15.02.2024,68,0,8
16.02.2024,72,0,9.5
17.02.2024,75,0,10.9
18.02.2024,73,1.6,10.9
19.02.2024,77,1.6,9.4
20.02.2024,66,0,8.6
21.02.2024,71,0,7.4
22.02.2024,83,33.8,8.7
23.02.2024,68,1.4,5.8
24.02.2024,62,0,5.8
25.02.2024,61,1.6,6.4
26.02.2024,80,10.6,7.7
27.02.2024,65,0,8.4
28.02.2024,63,0,8.9
29.02.2024,67,0,8.7
01.03.2024,76,0.2,7.7
02.03.2024,67,0,7.8
03.03.2024,67,0,8.5
04.03.2024,70,0,7.4
05.03.2024,74,0,6.4
06.03.2024,71,0,5.5
07.03.2024,71,0,5.9
08.03.2024,78,0,4.7
09.03.2024,76,0,6.3
10.03.2024,72,0.8,7.8
11.03.2024,83,0.5,6.4
12.03.2024,79,0.7,7.3
13.03.2024,67,0,10.3
14.03.2024,71,0,10.8
15.03.2024,64,3.2,12.7
16.03.2024,68,6.7,11.3
17.03.2024,78,0.9,9.4
18.03.2024,88,13.4,11.3
19.03.2024,75,0,11.2
20.03.2024,72,0.3,11.8
21.03.2024,66,0,14.1
22.03.2024,57,0,13.2
23.03.2024,50,0.1,10.2
24.03.2024,66,5.6,5.9
25.03.2024,59,0,7.1
26.03.2024,60,0.4,10.6
27.03.2024,84,8.3,5.9
28.03.2024,61,2.8,8.5
29.03.2024,46,0,14
30.03.2024,47,0.4,13.5
31.03.2024,76,2.3,10.7
01.04.2024,81,17,8.7
02.04.2024,70,2.1,9
03.04.2024,79,9.5,9.3
04.04.2024,70,0.5,13.3
05.04.2024,57,0,15.7
06.04.2024,50,0,16.6
07.04.2024,49,0,17.4
08.04.2024,51,0,17.4
09.04.2024,70,6.3,10.1
10.04.2024,62,0.7,8.4
11.04.2024,52,0,11.9
12.04.2024,63,0,14
13.04.2024,60,0,16.5
14.04.2024,53,0,19
15.04.2024,45,0,18.1
16.04.2024,58,5.6,8.6
17.04.2024,74,2.3,6.1
18.04.2024,63,0.6,5.5
19.04.2024,67,2.8,6.1
20.04.2024,61,0.8,7
21.04.2024,62,0,4.9
22.04.2024,66,0.5,3.9
23.04.2024,55,0,5.9
24.04.2024,58,0,5.8
25.04.2024,53,0,7
26.04.2024,72,4.4,9.2
27.04.2024,66,0,12.3
28.04.2024,80,16.5,11.4
29.04.2024,76,1,12.9
30.04.2024,74,0,14.4
01.05.2024,79,0,13.7
02.05.2024,89,34.9,11
03.05.2024,83,1.4,9.8
04.05.2024,72,0,11.5
05.05.2024,83,3,14.1
06.05.2024,90,24.4,12
07.05.2024,88,14.9,10.7
08.05.2024,67,0,13.9
09.05.2024,63,0,14.4
10.05.2024,63,0,16.4
11.05.2024,54,0,18.6
12.05.2024,53,0,19
13.05.2024,59,0,17.3
14.05.2024,81,11.6,14.7
15.05.2024,94,14.6,13.3
16.05.2024,91,6,11.8
17.05.2024,70,0,14.2
18.05.2024,66,0,14.8
19.05.2024,67,0,15.4
20.05.2024,74,8.8,16.1
21.05.2024,73,0.6,15.4
22.05.2024,78,5.4,14.8
23.05.2024,77,1.8,13.5
24.05.2024,77,12.4,13.4
25.05.2024,73,0.9,14.5
26.05.2024,70,0.6,16.1
27.05.2024,86,9.7,15.3
28.05.2024,58,0,15.9
29.05.2024,67,2.7,16.1
30.05.2024,81,11.7,15.3
31.05.2024,80,2.4,11.7